timestamp,value
2013-03-06,18399024.463948
2013-03-07,18547230.324523
2013-03-08,18499135.633109
2013-03-09,18043085.071086
2013-03-10,17413988.244746
2013-03-11,17764690.409268
2013-03-12,18310607.608402
2013-03-13,17779230.378315
2013-03-14,17780789.264989
2013-03-15,17775714.887044
2013-03-16,17856567.168292
2013-03-17,16868866.387991
2013-03-18,16905105.232710
2013-03-19,17800958.908499
2013-03-20,17793854.206721
2013-03-21,17936312.049328
2013-03-22,18194093.051061
2013-03-23,17811601.377460
2013-03-24,17338754.569664
2013-03-25,18053299.423397
2013-03-26,18808110.110448
2013-03-27,18738097.346602
2013-03-28,19022968.570231
2013-03-29,19146486.236694
2013-03-30,18825220.328397
2013-03-31,16286707.900706
2013-04-01,17493514.631576
2013-04-02,18451811.061025
2013-04-03,18145088.581618
2013-04-04,18148164.494727
2013-04-05,18223244.774829
2013-04-06,17759219.448334
2013-04-07,16945715.567121
2013-04-08,17687840.697728
2013-04-09,18222338.345729
2013-04-10,18544930.237832
2013-04-11,18698250.394034
2013-04-12,18640403.497120
2013-04-13,18504622.170171
2013-04-14,18581048.758650
2013-04-15,19077945.844390
2013-04-16,19327216.202600
2013-04-17,19412303.306047
2013-04-18,19674370.631284
2013-04-19,19757578.578150
2013-04-20,19463284.450432
2013-04-21,18821680.343949
2013-04-22,18952108.037457
2013-04-23,19480982.205259
2013-04-24,19832718.840504
2013-04-25,20121892.897022
2013-04-26,20076402.392411
2013-04-27,18663323.822946
2013-04-28,17506802.651059
2013-04-29,17815586.819436
2013-04-30,18371720.794677
2013-05-01,17503452.561600
2013-05-02,19038642.656147
2013-05-03,19855676.031888
2013-05-04,20018141.624928
2013-05-05,19936173.020086
2013-05-06,21081264.514854
2013-05-07,21194672.610549
2013-05-08,21201767.360313
2013-05-09,21627144.825397
2013-05-10,21265865.443100
2013-05-11,20915729.848279
2013-05-12,19567844.455309
2013-05-13,21229466.814042
2013-05-14,21460747.360124
2013-05-15,19591412.070008
2013-05-16,19328832.032773
2013-05-17,19438920.122566
2013-05-18,19104761.746418
2013-05-19,18417856.575288
2013-05-20,18797964.063092
2013-05-21,19822744.604094
2013-05-22,20482101.568191
2013-05-23,20515661.212935
2013-05-24,20701645.357908
2013-05-25,20498671.073887
2013-05-26,19572939.485879
2013-05-27,19402364.908435
2013-05-28,19592811.956258
2013-05-29,19482390.235279
2013-05-30,19682642.507843
2013-05-31,20979515.157406
2013-06-01,21710666.697419
2013-06-02,21598356.560737
2013-06-03,22390312.296955
2013-06-04,22010496.434093
2013-06-05,22291611.327966
2013-06-06,20260737.598779
2013-06-07,20561209.900987
2013-06-08,20337854.103642
2013-06-09,19642265.413384
2013-06-10,20077381.304680
2013-06-11,20883190.041334
2013-06-12,22189802.280241
2013-06-13,23236401.690989
2013-06-14,23350389.106335
2013-06-15,23016106.279251
2013-06-16,21748786.279034
2013-06-17,20822782.746510
2013-06-18,20743239.592363
2013-06-19,21190211.583759
2013-06-20,21767513.451499
2013-06-21,22043219.787479
2013-06-22,23123281.064238
2013-06-23,23416150.490725
2013-06-24,23504848.247331
2013-06-25,25687538.636306
2013-06-26,26155609.064932
2013-06-27,25939719.790180
2013-06-28,26895168.536212
2013-06-29,27816644.819185
2013-06-30,27501638.477673
2013-07-01,26349433.911671
2013-07-02,25597827.576832
2013-07-03,27393382.770122
2013-07-04,29557802.387298
2013-07-05,30165848.791777
2013-07-06,30168594.904529
2013-07-07,29698665.597447
2013-07-08,29906547.044475
2013-07-09,30159225.682904
2013-07-10,29554850.552670
2013-07-11,28351001.944388
2013-07-12,27486777.250935
2013-07-13,26575306.661696
2013-07-14,25833416.413830
2013-07-15,26680213.713994
2013-07-16,27404312.129998
2013-07-17,27299219.445102
2013-07-18,26983158.571886
2013-07-19,26912779.587522
2013-07-20,26094493.053975
2013-07-21,25034887.715052
2013-07-22,25565170.280488
2013-07-23,26215597.264336
2013-07-24,26984411.853843
2013-07-25,27352544.431357
2013-07-26,25603250.689686
2013-07-27,24897117.023129
2013-07-28,24619446.328371
2013-07-29,25515197.566012
2013-07-30,27387605.635463
2013-07-31,27941879.020305
2013-08-01,27302081.352153
2013-08-02,26633021.938510
2013-08-03,25910735.272763
2013-08-04,25405847.487401
2013-08-05,26338385.337421
2013-08-06,26999616.765607
2013-08-07,26280727.685960
2013-08-08,26768701.418192
2013-08-09,29014158.086938
2013-08-10,29579920.893088
2013-08-11,28498788.825420
2013-08-12,27645827.338701
2013-08-13,28484379.774564
2013-08-14,28960032.120686
2013-08-15,28789170.862465
2013-08-16,27978185.729320
2013-08-17,28138977.655342
2013-08-18,27603696.528675
2013-08-19,28689310.098197
2013-08-20,29169579.042047
2013-08-21,27963607.175685
2013-08-22,27626356.023596
2013-08-23,27936838.851415
2013-08-24,27556430.823222
2013-08-25,26668633.394698
2013-08-26,26312948.704692
2013-08-27,26135232.650180
2013-08-28,26193823.335710
2013-08-29,26600926.945008
2013-08-30,27475030.805732
2013-08-31,27427985.503687
2013-09-01,26523847.490573
2013-09-02,27088818.592133
2013-09-03,27502498.644021
2013-09-04,26977893.551060
2013-09-05,26305678.484268
2013-09-06,26116789.953815
2013-09-07,24333661.124270
2013-09-08,23423863.241151
2013-09-09,23767007.642727
2013-09-10,25141800.885170
2013-09-11,25815129.096280
2013-09-12,26618800.721583
2013-09-13,27173275.435282
2013-09-14,26401251.631367
2013-09-15,25421933.818919
2013-09-16,24979857.543112
2013-09-17,24621119.194087
2013-09-18,24478571.120915
2013-09-19,24791406.979466
2013-09-20,26250243.386086
2013-09-21,26747237.326942
2013-09-22,25607142.242343
2013-09-23,25449743.188749
2013-09-24,24636589.518643
2013-09-25,24307918.897150
2013-09-26,24448274.243437
2013-09-27,24736155.622845
2013-09-28,24197236.345851
2013-09-29,23253653.091077
2013-09-30,24156156.348409
2013-10-01,24110858.007493
2013-10-02,23152522.032139
2013-10-03,23954513.234720
2013-10-04,23528380.757773
2013-10-05,22812616.251375
