path	sha256	size_bytes
results/revision_baseline_sensitivity/predictions_pm25.csv	762c4f46555d33d9c26246b9e056f5250e322bb5c7d70212fdaf170ca2f688cf	3775123
results/revision_baseline_sensitivity/predictions_load.csv	198bbd412612e0968515317e9678d3897ee41c177ff7a85ab47639d8caa4a88e	84680
results/revision_baseline_sensitivity/predictions_wind.csv	d12a4eff04fe8205f9f4cc8ddb7e0ad2a7ddc6f4ec1b727ae10e765ffcba2763	3949489
results/revision_baseline_sensitivity/predictions_traffic.csv	a83e44ef02307d01cc6df1f999ec41df716583654443bef482e45d88450f4bf7	2244649
results/revision_baseline_sensitivity/metrics_by_horizon.csv	fea4839e4097331dc32e9dbf37deb010a5e527cc83038208a641490928a70418	29373
results/revision_baseline_sensitivity/support_audit.csv	491445a78f2d0983280ae4376466e34695a7211d6ab434680c89bf8a12953807	15825
results/revision_baseline_sensitivity/hstar_summary.csv	5d183f850d6574d25e76e8488034b70e4724024a17e0c248b17426101c7d0dab	342
experiments/run_revision_baseline_sensitivity.py	95c40ff31d208429b9c60dd0095caf92ca73a1c134769a0b6c1714ee5179dfff	9669
src/baselines.py	c8a790a50198316068f49863d4b74a754ac5d396cdaf1d7bc28704298af178ce	631
src/common_support.py	b18fb56bc8286e5527e45b6a3e0dabeb03a740438f0f9581f432fb0ed96f86c5	2535
src/hstar.py	ccefe9eef47b937ea375c68187ad9f5cc7210c8c31957d191d8f0a2fd46bebea	2586
src/summarize_baseline_sensitivity.py	9147a4dec2b252ccc0fbc1fc75e2ade604eeda14e4d51cfe8694e30427c63432	3114
